,sentence1,sentence2,similarity_score,sent1_len,sent2_len,aug1
0,Un avión está despegando.,Un avión está despegando.,1.0,4,4,Un avión se encuentra en pleno despegue.
1,Un hombre está tocando una gran flauta.,Un hombre está tocando una flauta.,0.7599999904632568,7,6,Un individuo se dedica a interpretar una gran flauta.
2,Un hombre está untando queso rallado en una pizza.,Un hombre está untando queso rallado en una pizza cruda.,0.7599999904632568,9,10,Un hombre se encuentra esparciendo queso rallado sobre una pizza.
3,Tres hombres están jugando al ajedrez.,Dos hombres están jugando al ajedrez.,0.5199999809265137,6,6,Tres hombres se hallan disputando una partida de ajedrez.
4,Un hombre está tocando el violonchelo.,Un hombre sentado está tocando el violonchelo.,0.85,6,7,Un hombre se dedica a interpretar el violonchelo.
5,Algunos hombres están luchando.,Dos hombres están luchando.,0.85,4,4,Algunos hombres se encuentran luchando en una pelea.
6,Un hombre está fumando.,Un hombre está patinando.,0.1,4,4,Un hombre se encuentra fumando un cigarrillo.
7,El hombre está tocando el piano.,El hombre está tocando la guitarra.,0.3200000047683716,6,6,El hombre se dedica a interpretar el piano.
8,Un hombre está tocando en una guitarra y cantando.,Una mujer está tocando una guitarra acústica y cantando.,0.4400000095367432,9,9,Un hombre se encuentra tocando la guitarra y cantando al mismo tiempo.
9,Una persona está lanzando un gato al techo.,Una persona lanza un gato al techo.,1.0,8,7,Una persona se encuentra lanzando a un gato hacia el techo.
10,El hombre golpeó al otro hombre con un palo.,El hombre golpeó al otro hombre con un palo.,0.8399999618530274,9,9,El individuo asestó un golpe a otro con un bastón.
11,Una mujer recoge y sostiene un bebé canguro.,Una mujer coge y sostiene un bebé canguro en sus brazos.,0.9199999809265137,8,11,Una dama recoge y abraza a un joey de canguro.
12,Un hombre está tocando una flauta.,Un hombre está tocando una flauta de bambú.,0.7734000205993652,6,8,Un hombre está interpretando una flauta.
13,Una persona está doblando un pedazo de papel.,Alguien está doblando un pedazo de papel.,0.9333999633789063,8,7,Una persona está plegando un trozo de papel.
14,Un hombre está corriendo en la carretera.,Un perro panda está corriendo en la carretera.,0.33340001106262207,7,8,Un varón está corriendo por el camino.
15,Un perro está tratando de quitarse el tocino de encima.,Un perro está tratando de comerse el tocino de su espalda.,0.75,10,11,Un perro está intentando quitarse el beicon de encima.
16,El oso polar se está deslizando en la nieve.,Un oso polar se está deslizando por la nieve.,1.0,9,9,El oso ártico se está deslizando sobre la nieve.
17,Una mujer está escribiendo.,Una mujer está nadando.,0.1,4,4,Una mujer está redactando.
18,Un gato se está frotando contra la cara del bebé.,Un gato se está frotando contra un bebé.,0.7599999904632568,10,8,Un gato se está restregando contra el rostro del infante.
19,El hombre está montando a caballo.,Un hombre está montando a caballo.,1.0,6,6,El hombre está montando en un caballo.
20,Un hombre vierte aceite en una olla.,Un hombre vierte vino en una olla.,0.6400000095367432,7,7,Un individuo derrama petróleo en un caldero.
21,Un hombre está tocando una guitarra.,Una chica está tocando una guitarra.,0.5599999904632569,6,6,Un varón tañe una guitarra.
22,Un panda se está deslizando por un tobogán.,Un panda se desliza por un tobogán.,0.9199999809265137,8,7,Un oso panda se desliza por un resbaladizo.
23,Una mujer está comiendo algo.,Una mujer está comiendo carne.,0.6,5,5,Una dama está ingiriendo alimentos.
24,Una mujer pela una patata.,Una mujer está pelando una patata.,1.0,5,6,Una fémina descascara una papa.
25,El chico se cayó de su bicicleta.,Un chico se cae de su bicicleta.,0.9600000381469727,7,7,El muchacho cayó de su bicicleta.
26,La mujer está tocando la flauta.,Una mujer está tocando una flauta.,1.0,6,6,La señora está interpretando la flauta.
27,Un conejo está huyendo de un águila.,Una liebre está huyendo de un águila.,0.8399999618530274,7,7,Un conejo escapa de un águila.
28,La mujer está friendo una chuleta de cerdo empanizada.,Una mujer está cocinando una chuleta de cerdo empanizada.,0.8399999618530274,9,9,La mujer está cocinando una costilla de cerdo rebozada.
29,Una chica está volando una cometa.,Una chica corriendo está volando una cometa.,0.8,6,7,Una joven está haciendo volar una cometa.
30,Un hombre está montando un toro mecánico.,Un hombre montaba un toro mecánico.,0.8,7,6,Un varón se encuentra domando un toro mecánico.
31,El hombre está tocando la guitarra.,Un hombre está tocando una guitarra.,0.9817999839782715,6,6,El individuo se halla tocando una guitarra.
32,Una mujer está bailando y cantando con otras mujeres.,Una mujer está bailando y cantando bajo la lluvia.,0.6,9,9,Una dama se encuentra bailando y entonando canciones junto a otras mujeres.
33,Un hombre está cortando un bollo.,Un hombre está cortando una cebolla.,0.48000001907348633,6,6,Un hombre se halla cortando un pan.
34,Un hombre está vertiendo aceite en una cacerola.,Un hombre está vertiendo aceite en una sartén.,0.8399999618530274,8,8,Un caballero está echando aceite en una sartén.
35,Un león está jugando con la gente.,Un león está jugando con dos hombres.,0.6800000190734863,7,7,Un león se divierte con las personas.
36,Un perro monta un monopatín.,Un perro está montando un monopatín.,1.0,5,6,Un canino está montando un patinete.
37,Alguien está tallando una estatua.,Un hombre está tallando una estatua.,0.75,5,6,Alguien se encuentra esculpiendo una estatua.
38,Una mujer está cortando una cebolla.,Un hombre está cortando una cebolla.,0.55,6,6,Una fémina está partiendo una cebolla.
39,Una mujer pela camarones.,Una mujer está pelando camarones.,1.0,4,5,Una dama está pelando gambas.
40,Una mujer está friendo pescado.,Una mujer está cocinando pescado.,0.8,5,5,Una dama está cocinando pescado a la plancha.
41,Una mujer está tocando una guitarra eléctrica.,Una mujer está tocando una guitarra.,0.7199999809265136,7,6,Una mujer está tañendo una guitarra eléctrica.
42,Un tigre bebé está jugando con una pelota.,Un bebé está jugando con una muñeca.,0.3200000047683716,8,7,Un cachorro de tigre está divirtiéndose con una pelota.
43,Una persona está cortando un tomate.,Una persona está cortando algo de carne.,0.35,6,7,Un individuo está rebanando un tomate.
44,Una persona corta una cebolla.,Una persona está cortando una cebolla.,1.0,5,6,Una persona está partiendo una cebolla.
45,Un hombre está tocando el piano.,Una mujer está tocando el violín.,0.2,6,6,Un hombre está interpretando el piano.
46,Una mujer está tocando la flauta.,Un hombre está tocando la guitarra.,0.2,6,6,Una mujer está ejecutando la flauta.
47,Un hombre está cortando una patata.,Un hombre está cortando zanahorias.,0.475,6,5,Un hombre está troceando una papa.
48,Un niño está tocando la guitarra.,Un chico está tocando una guitarra.,0.7599999904632568,6,6,Un joven está pulsando las cuerdas de la guitarra.
49,Un chico está tocando la guitarra.,Un hombre está tocando una guitarra.,0.6400000095367432,6,6,Un muchacho está tocando melodías en la guitarra.
50,Un hombre está tocando la guitarra.,Un chico está tocando una guitarra.,0.6400000095367432,6,6,Un varón se encuentra tañendo una guitarra.
51,Un niño pequeño está tocando un teclado.,Un niño está jugando al teclado.,0.8800000190734864,7,6,Un pequeño infante se dedica a tocar un teclado.
52,Un hombre está tocando una guitarra.,Un hombre está tocando una guitarra eléctrica.,0.75,6,7,Un caballero está ejecutando una guitarra.
53,Un perro lame a un bebé.,Un perro está lamiendo a un bebé.,0.95,6,7,Un canino acaricia con la lengua a un bebé.
54,Una mujer está cortando una cebolla.,Un hombre está cortando y cebando.,0.6400000095367432,6,6,Una dama está troceando una cebolla.
55,Un hombre está tocando la guitarra.,Un hombre está tocando la batería.,0.3111999988555908,6,6,Un hombre se halla tocando la guitarra.
56,Una mujer está cortando un pimiento.,Una mujer está cortando un pimiento rojo.,0.7875999927520752,6,7,Una fémina está cortando un pimiento.
