,sentence1,sentence2,similarity_score,aug1,aug2
0,Un avión está despegando.,Un avión está despegando.,1.0,Un avión se encuentra en pleno despegue.,Una aeronave está iniciando su ascenso.
1,Un hombre está tocando una gran flauta.,Un hombre está tocando una flauta.,0.7599999904632568,Un individuo se dedica a interpretar una gran flauta.,Un individuo está produciendo música con una flauta.
2,Un hombre está untando queso rallado en una pizza.,Un hombre está untando queso rallado en una pizza cruda.,0.7599999904632568,Un hombre se encuentra esparciendo queso rallado sobre una pizza.,Un hombre está cubriendo una pizza sin cocinar con queso rallado.
3,Tres hombres están jugando al ajedrez.,Dos hombres están jugando al ajedrez.,0.5199999809265137,Tres hombres se hallan disputando una partida de ajedrez.,Dos individuos están participando en un juego de ajedrez.
4,Un hombre está tocando el violonchelo.,Un hombre sentado está tocando el violonchelo.,0.85,Un hombre se dedica a interpretar el violonchelo.,Un hombre está sentado tocando un violonchelo.
5,Algunos hombres están luchando.,Dos hombres están luchando.,0.85,Algunos hombres se encuentran luchando en una pelea.,Dos individuos están enfrascados en un combate.
6,Un hombre está fumando.,Un hombre está patinando.,0.1,Un hombre se encuentra fumando un cigarrillo.,Un hombre está deslizándose sobre patines.
7,El hombre está tocando el piano.,El hombre está tocando la guitarra.,0.3200000047683716,El hombre se dedica a interpretar el piano.,El individuo está ejecutando melodías con una guitarra.
8,Un hombre está tocando en una guitarra y cantando.,Una mujer está tocando una guitarra acústica y cantando.,0.4400000095367432,Un hombre se encuentra tocando la guitarra y cantando al mismo tiempo.,Una mujer está tocando una guitarra acústica y entonando una canción.
9,Una persona está lanzando un gato al techo.,Una persona lanza un gato al techo.,1.0,Una persona se encuentra lanzando a un gato hacia el techo.,Una persona está lanzando un gato hacia el techo.
10,El hombre golpeó al otro hombre con un palo.,El hombre golpeó al otro hombre con un palo.,0.8399999618530274,El individuo asestó un golpe a otro con un bastón.,El hombre asestó un golpe a su oponente con un bastón.
11,Una mujer recoge y sostiene un bebé canguro.,Una mujer coge y sostiene un bebé canguro en sus brazos.,0.9199999809265136,Una dama recoge y abraza a un joey de canguro.,Una mujer acuna y sostiene en sus brazos a un bebé canguro.
